Bus No,Start,Destination,Route,Area Section
M5,Adyar,Kelambakkam,"Thiruvanmiyur, Perungudi, Sholinganallur",Adyar
19D,Adyar,Chemmenchery,"Thiruvanmiyur, SRP, Perungudi",Adyar
19K,Adyar B.S.,Siruseri,"Thiruvanmiyur, Perungudi, Navalur, Thalambur",Adyar
19P,Adyar B.S.,Kelambakkam,"SRP Tools, Perugudi, Sholinganallur, Navalur, Thalambur, Sirusery, Pudupakkam, Chettinad Hospital",Adyar
519 cut,Adyar,Thirupporur,"SRP tools, Sholinganallur, Kelambakkam, Kalavakkam",Adyar
519A cut,Adyar,Aalathur IE,"SRP tools, Sholinganallur, Kelambakkam, Thirupporur",Adyar
519T,Adyar,Thaiyur,"Perungudi,Sholinganallur,Kelambakka m",Adyar
522,Adyar,Manamathi,"Perungudi, Sholinganallur, Kelambakkam, Thirupporur",Adyar
568,Adyar,Mamallapuram,Rajiv Gandhi Salai,Adyar
C51,Adyar,Tambaram West,"Camp Road, Kamarajapuram, Medavakkam, Sholinganallur, ECR, Injambakkam, Thiruvanmyur",Adyar
588,Adyar,Mamallapuram,"Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",Adyar
251A,Agaramthe n,T.Nagar,"Bharath Engg. College, Camp Road, Kamarajapuram, Medavakkam,",Agaramthen
51A,Agaramthe n,Tambaram East,Camp Road,Agaramthen
20K,Ambattur I.E,Thiruverkadu,,Ambattur IE
20P,Ambattur I.E,Poonamallee,"Ayapakkam, Saveetha Engineering College, Kumananchavadi, Karaiyanchavadi",Ambattur IE
61A,Ambattur I.E,Melapedu,"Dunlop, Amabttur OT, Thirumullaivoyil, Avadi, HVF Hospital",Ambattur IE
65B,Ambattur I.E,Poonamallee,"Karayan chavadi, Seeneerkuppam, Goverdhangiri, Avadi Market, Avadi, Thirumullaivoyal, Ambathur OT, Canara bank, Dunlop, AMBIT Park",Ambattur IE
65C,Ambattur I.E,Pakkam,"Dunlop, Ambattur OT, Thirumulaivoyil, Avadi, Pattabiram, Jaya College, Thirunindravur",Ambattur IE
65E,Ambattur I.E,Poonamallee,"Ambattur OT, Avadi, Kamaraj Nagar, Karaiyanchavadi",Ambattur IE
65P,Ambattur I.E,Pattabiram,"Ambattur OT, Avadi Market, Poonamallee, Thandurai",Ambattur IE
65R,Ambattur I.E,Iyyapanthangal,"Ambattur OT, Avadi Market, Karaiyanchavadi, Kumananchavadi",Ambattur IE
