No,Start,Destination,Route
M5,Adyar,Kelambakkam,"Thiruvanmiyur, Perungudi, Sholinganallur, Kelambakkam"
19D,Adyar,Chemmenchery,"Chemmenchery, Thiruvanmiyur, SRP, Perungudi"
19K,Adyar B.S.,Sirusery,"Thiruvanmiyur, Perungudi, Navalur, Thalambur, Siruseri"
19P,Adyar B.S.,Kelambakkam,"SRP Tools, Perugudi, Sholinganallur, Navalur, Thalambur, Sirusery, Pudupakkam, Chettinad Hospital, Kelambakkam"
519 cut,Adyar,Thirupporur,"SRP tools, Sholinganallur, Kelambakkam, Kalavakkam, Thirupporur"
519A cut,Adyar,Aalathur IE ,"SRP tools, Sholinganallur, Kelambakkam, Thirupporur, Aalathur IE"
519T,Adyar,Thaiyur,"Perungudi, Sholinganallur, Kelambakkam, Thaiyur"
522,Adyar,Manamathi ,"Perungudi, Sholinganallur, Kelambakkam, Thirupporur, Manamathi"
568,Adyar,Mamallapuram ,"Mamallapuram, Rajiv Gandhi Salai"
C51,Adyar,Tambaram West,"Camp Road, Kamarajapuram, Medavakkam, Sholinganallur, ECR, Injambakkam, Thiruvanmyur, Tambaram West"
588,Adyar,Mamallapuram ,"Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili, Mamallapuram"
251A,Agaramthen,T.Nagar ,"Bharath Engg. College, Camp Road, Kamarajapuram, Medavakkam, T.Nagar, Velachery, Saidapet"
51A,Agaramthen,Tambaram East,Camp Road
20K,Ambattur I.E,Thiruverkadu,
20P,Ambattur I.E,Poonamallee,"Ayapakkam, Saveetha Engineering College, Kumananchavadi, Karaiyanchavadi"
61A,Ambattur I.E,Melapedu,"Dunlop, Amabttur OT, Thirumullaivoyil, Avadi, HVF Hospital"
65B,Ambattur I.E,Poonamallee,"Karayan chavadi, Seeneerkuppam, Goverdhangiri, Avadi Market, Avadi, Thirumullaivoyal, Ambathur OT, Canara bank, Dunlop, AMBIT Park"
65C,Ambattur I.E,Pakkam,"Dunlop, Ambattur OT, Thirumulaivoyil, Avadi, Pattabiram, Jaya College, Thirunindravur"
65E,Ambattur I.E,Poonamallee,"Ambattur OT, Avadi, Kamaraj Nagar, Karaiyanchavadi"
65P,Ambattur I.E,Pattabiram,"Ambattur OT, Avadi Market, Poonamallee, Thandurai"
65R,Ambattur I.E,lyyapanthangal,"Ambattur OT, Avadi Market, Karaiyanchavadi, Kumananchavadi"
70D,Ambattur I.E,MadipakkamB.S,"Collector Nagar, CMBT, Vadapalani, Ashok Nagar, Guindy, Velachery, Ram Nagar"
D70,Ambattur I.E,Velachery,"Collector Nagar, CMBT, Vadapalani, Ashok nagar, Guindy, Checkpost, Velachery Bypass road"
D70 xt,Ambattur I.E,Medavakkam,"Collector Nagar, Vadapalani, Ashok nagar, Guindy, Checkpost, Velacherry, Pallikaranai"
M70V,Ambattur I.E,Guindy TVK Estate,"Collector Nagar, Vadapalani"
M270,Ambattur I.E,Puzhuthivakkam,"Aadambakkam, Guindy, Udhayam, CMBT, Thirumangalam"
562,Ambattur Estate,Thandalam,"Periyapalayam, Red Hills, Puzhal, Pudur, Ambattur OT"
563,Ambattur I.E,Periyapalayam,"Ambattur OT, Avadi, Pattabiram"
570A,Ambattur Estate,Kelambakkam,"CMBT, Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi, Sholinganallur, Navalur, Padur"
7E,Ambattur I.E,Broadway,"Central R.S, Choolai P.O, Doveton, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam, Wavin"
7H xt,Ambattur I.E,Broadway,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam"
20E,Ambattur I.E,Ayyapakkam,Korattur
22A,Ambattur I.E,Thirunamiyur,"Korattur, Lucas, Nathamuni, ICF, Ayanavaram, Kellys, Purasaiwakkam, Egmore, Triplicane, Kannagi statue, Santhome, AMS, Adyar"
34,Ambattur I.E,Thiruvottiyur,"Thirumangalam, Rountana, Chinthamani, Kellys, Purasaiwakkam, Choolai P.O., Regal, V.Nagar, Tondiarpet, Tollgate, Therady"
47C,Ambattur I.E,Kotturpuram,"Saidpet, T. Nagar, Mahalingapuram, Choolaimedu, Roundtana, Thirumangalam, Wavin"
48A,Ambattur I.E,Madhavaram,"Moolakadai, Perambur, Ayanavaram, ICF, Villivakkam, Padi"
62A,Ambattur I.E,Red Hills,Pudur
219,Ambattur I.E,Kelambakkam,"Collector Nagar, Thirumangalam, Anna Arch, Choolaimedu, Mahalingapuram, T.Nagar, Saidapet, Madhya Kailash, Tidel Park, Thoraipakkam, Siruseri"
572,Ambattur I.E,Thiruvallur,"Ambattur OT, Avadi, Pattabiram, Thirunindravur, Veppampattu, Sevapet, Kakallur"
