id,name,city,main_category,sub_category,size_category,type_mode,phone,address,google_maps_url,specialization,equipment,source_notes,icu_ambulance,cardiac_ambulance,neonatal_ambulance,ventilator_ambulance,nurse_support,multi_specialty,patient_shifting,dead_body_transport,tn_to_wb,wb_to_tn,created_at,updated_at
amb-1787046052208-5-jpvg,Panchmukhi Air & Train Ambulance,Chennai,train,private,large,Air Ambulance,Check website for current number,Chennai (TN) -> Kolkata (WB),,,,,true,false,true,false,true,true,true,false,false,false,2026-08-18T09:40:52.208Z,2026-08-18T09:40:52.208Z
amb-1787046052209-12-2jl2,Citizen Rail Ambulance,Multi-city,train,private,large,Train / Air / Road Ambulance,Check website for current number,Tamil Nadu -> Kolkata (WB),,,,,true,false,true,true,true,true,true,true,false,false,2026-08-18T09:40:52.208Z,2026-08-18T09:40:52.208Z
amb-1787046052209-13-uuho,Zenzo Train Ambulance,Multi-city,train,private,large,Train Ambulance (bed-to-bed),Check website for current number,Tamil Nadu -> Kolkata (WB),,,,,true,false,true,false,true,true,true,false,false,false,2026-08-18T09:40:52.208Z,2026-08-18T09:40:52.208Z
amb-1787046052209-9-u3bq,Tamil Nadu 108 Emergency Ambulance,Tamil Nadu,local,government,medium,Government Emergency,108 (toll-free),"Statewide, Tamil Nadu (origin point)",,,,,false,false,false,false,true,true,false,false,false,false,2026-08-18T09:40:52.208Z,2026-08-18T09:40:52.208Z
amb-flight-1787042408815-4p087,Tamil Nadu Air Ambulance,Chennai,flight,government,large,Helicopter / Fixed Wing (case-based),108,"Statewide, remote areas, inter-state referrals",,,,Tamil Nadu Health & Family Welfare Dept. Free / subsidized for eligible patients.,true,true,true,true,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042409860-tf5lu,IAF / NDRF Helicopter Ambulance,Chennai,flight,government,medium,Helicopter,SDMA Contact,Disaster-hit areas of TN,,,,Indian Air Force / National Disaster Response Force. Free (deployed during emergencies).,false,false,false,false,false,false,true,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042410580-kh752,PM Shri Air Ambulance Seva,Chennai,flight,government,large,Helicopter / Fixed Wing,Via State Health Dept.,Currently MP; referenced as a national free-air-ambulance model,,,,Govt. of Madhya Pradesh (contracted to ICATT). Free for Ayushman Cardholders.,true,false,false,false,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042411911-xnq6r,Airlift Ambulance Services,Chennai,flight,private,large,Fixed Wing & Helicopter,9905271031,"Pan-India incl. Chennai/TN, international evacuation",,,,"Airlift Ambulance Services. Approx Cost: ₹2,00,000 - ₹12,00,000.",true,true,true,true,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042412262-sqqt9,WellCare Air Ambulance,Chennai,flight,private,large,Fixed Wing & Helicopter,Contact via website/hotline,"Pan-India incl. Chennai, 24/7 medical evacuation",,,,"WellCare Ambulance Services. Approx Cost: ₹1,50,000+ per flight hour.",true,false,true,false,false,false,true,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
amb-flight-1787042413441-ts2g9,AeroCare Air Ambulance,Chennai,flight,private,large,Fixed Wing & Helicopter,Contact via website/hotline,"Pan-India, commercial & private transfers",,,,"AeroCare India. ICU/Ventilator, Cardiac & Stroke, Neonatal & Pediatric transfers.",true,true,true,true,false,false,false,false,false,false,2026-08-18T08:40:08.815Z,2026-08-18T08:40:08.815Z
