id,name,city,address,phone,available_groups,google_maps_url,website,created_at,updated_at
1,Adyar Cancer Institute Blood Bank,Chennai,"Adyar, Chennai - 600020",044-24910754,"A+,B+,O+,AB+",https://maps.google.com/?q=Adyar+Cancer+Institute+Chennai,,,
10,Annai Teresa Blood Bank,Chennai,"Madipakkam, Chennai - 600091",04422580803,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Annai+Teresa+Blood+Bank+Madipakkam+Chennai,https://www.annaiteresabloodbank.com,,
11,National Voluntary Blood Centre,Chennai,"Kolathur, Chennai - 600099",08110955777,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=National+Voluntary+Blood+Centre+Kolathur+Chennai,https://www.nationalvbloodcentre.com,,
12,Chennai Blood Centre (Ambattur),Chennai,"Ambattur, Chennai - 600053",09600775465,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Chennai+Blood+Centre+Ambattur+Chennai,https://www.chennaibloodcentre.com,,
13,Medway Hospitals Blood Centre,Chennai,"Kodambakkam, Chennai - 600024",08072087436,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Medway+Hospitals+Blood+Centre+Kodambakkam+Chennai,http://www.medwayhospitals.com,,
14,Bhaarath Blood Bank,Chennai,"Selaiyur, Chennai - 600073",09611255550,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Bhaarath+Blood+Bank+Selaiyur+Chennai,https://bmch.ac.in/blood-bank.php,,
15,Madras Medical Mission Blood Bank,Chennai,"Mogappair, Chennai - 600037",1800123599999,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Madras+Medical+Mission+Blood+Bank+Mogappair+Chennai,https://madrasmedicalmission.org.in/bloodbank.php,,
16,Lions Blood Bank Ambattur,Chennai,"Ambattur Industrial Estate, Chennai - 600058",04448504959,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Lions+Blood+Bank+Ambattur+Chennai,https://www.lionsbloodbank.net/contactus.php,,
17,Sree Balaji General Hospital Blood Bank,Chennai,"Chromepet, Chennai - 600044",04422415600,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Sree+Balaji+General+Hospital+Blood+Bank+Chromepet+Chennai,http://www.sbmch.ac.in,,
18,Apollo Hospital Blood Bank,Chennai,"Thousand Lights, Chennai - 600006",08069991000,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Apollo+Hospital+Blood+Bank+Greams+Road+Chennai,https://www.apollohospitals.com/chennai/hospitals/thousand-lights-childrens/laboratory-and-blood-bank/,,
19,Hindu Mission Hospital Blood Bank,Chennai,"Tambaram, Chennai - 600045",04422262244,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Hindu+Mission+Hospital+Blood+Bank+Tambaram+Chennai,https://hindumissionhospital.in/blood-bank/,,
2,Apollo Blood Bank,Chennai,"Greams Lane, Chennai - 600006",044-28290200,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Apollo+Blood+Bank+Chennai,,,
20,Billroth Blood Bank,Chennai,"Shenoy Nagar, Chennai - 600030",04442921767,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Billroth+Blood+Bank+Shenoy+Nagar+Chennai,http://www.billrothhospitals.com,,
21,Kauvery Regional Blood Centre,Chennai,"Mylapore, Chennai - 600004",09652000081,"A+,A-,B+,B-,O+,O-,AB+,AB-",https://maps.google.com/?q=Kauvery+Regional+Blood+Centre+Mylapore+Chennai,https://www.kauveryhospital.com/kauvery-regional-blood-centre,,
