From Station,To Station,Normal Fare (Rs),"Discounted Fare (Rs, 20% off)"
Airport,Meenambakkam,10,8
Airport,Nanganallur Road,20,16
Airport,Arignar Anna Alandur Metro,20,16
Airport,Guindy,30,24
Airport,Little Mount,30,24
Airport,Saidapet,30,24
Airport,Nandanam,30,24
Airport,Teynampet,30,24
Airport,AG-DMS,40,32
Airport,Thousand Light,40,32
Airport,LIC,40,32
Airport,Government Estate,40,32
Airport,Puratchi Thalaivar Dr.M.G.Ramachandran Central Metro,40,32
Airport,High Court,40,32
Airport,Mannadi,40,32
Airport,Washermenpet,50,40
Airport,Thyagaraya College,50,40
Airport,Tondiarpet,50,40
Airport,New Washermenpet,50,40
Airport,Toll Gate,50,40
Airport,Kaladipet,50,40
Airport,Thiruvotriyur Theredi,50,40
Airport,Thiruvotriyur,50,40
Airport,Wimco Nagar,50,40
Airport,Wimco Nagar Depot,50,40
Airport,Ekkattuthangal,30,24
Airport,Ashok Nagar,30,24
Airport,Vadapalani,30,24
Airport,Arumbakkam,30,24
Airport,Puratchi Thalaivi Dr.J.Jayalalitha CMBT Metro,40,32
Airport,Koyambedu,40,32
Airport,Thirumangalam,40,32
Airport,Anna Nagar Tower,40,32
Airport,Anna Nagar East,40,32
Airport,Shenoy Nagar,40,32
Airport,Pachiappas College,40,32
Airport,Kilpauk,50,40
Airport,Nehru Park,40,32
Airport,Egmore,40,32
Airport,St. Thomas Mount,30,24
Meenambakkam,Nanganallur Road,20,16
Meenambakkam,Arignar Anna Alandur Metro,20,16
Meenambakkam,Guindy,20,16
Meenambakkam,Little Mount,30,24
Meenambakkam,Saidapet,30,24
Meenambakkam,Nandanam,30,24
Meenambakkam,Teynampet,30,24
Meenambakkam,AG-DMS,30,24
Meenambakkam,Thousand Light,40,32
Meenambakkam,LIC,40,32
Meenambakkam,Government Estate,40,32
Meenambakkam,Puratchi Thalaivar Dr.M.G.Ramachandran Central Metro,40,32
Meenambakkam,High Court,40,32
Meenambakkam,Mannadi,40,32
Meenambakkam,Washermenpet,40,32
Meenambakkam,Thyagaraya College,50,40
Meenambakkam,Tondiarpet,50,40
Meenambakkam,New Washermenpet,50,40
Meenambakkam,Toll Gate,50,40
Meenambakkam,Kaladipet,50,40
Meenambakkam,Thiruvotriyur Theredi,50,40
Meenambakkam,Thiruvotriyur,50,40
Meenambakkam,Wimco Nagar,50,40
Meenambakkam,Wimco Nagar Depot,50,40
Meenambakkam,Ekkattuthangal,20,16
Meenambakkam,Ashok Nagar,30,24
Meenambakkam,Vadapalani,30,24
Meenambakkam,Arumbakkam,30,24
Meenambakkam,Puratchi Thalaivi Dr.J.Jayalalitha CMBT Metro,30,24
Meenambakkam,Koyambedu,40,32
Meenambakkam,Thirumangalam,40,32
Meenambakkam,Anna Nagar Tower,40,32
Meenambakkam,Anna Nagar East,40,32
Meenambakkam,Shenoy Nagar,40,32
Meenambakkam,Pachiappas College,40,32
Meenambakkam,Kilpauk,40,32
Meenambakkam,Nehru Park,40,32
Meenambakkam,Egmore,40,32
Meenambakkam,St. Thomas Mount,20,16
Nanganallur Road,Arignar Anna Alandur Metro,10,8
Nanganallur Road,Guindy,20,16
Nanganallur Road,Little Mount,20,16
Nanganallur Road,Saidapet,20,16
Nanganallur Road,Nandanam,30,24
Nanganallur Road,Teynampet,30,24
Nanganallur Road,AG-DMS,30,24
Nanganallur Road,Thousand Light,30,24
Nanganallur Road,LIC,30,24
Nanganallur Road,Government Estate,40,32
Nanganallur Road,Puratchi Thalaivar Dr.M.G.Ramachandran Central Metro,40,32
Nanganallur Road,High Court,40,32
Nanganallur Road,Mannadi,40,32
Nanganallur Road,Washermenpet,40,32
Nanganallur Road,Thyagaraya College,40,32
Nanganallur Road,Tondiarpet,40,32
Nanganallur Road,New Washermenpet,50,40
Nanganallur Road,Toll Gate,50,40
Nanganallur Road,Kaladipet,50,40
Nanganallur Road,Thiruvotriyur Theredi,50,40
Nanganallur Road,Thiruvotriyur,50,40
Nanganallur Road,Wimco Nagar,50,40
Nanganallur Road,Wimco Nagar Depot,50,40
Nanganallur Road,Ekkattuthangal,20,16
Nanganallur Road,Ashok Nagar,20,16
Nanganallur Road,Vadapalani,30,24
Nanganallur Road,Arumbakkam,30,24
Nanganallur Road,Puratchi Thalaivi Dr.J.Jayalalitha CMBT Metro,30,24
Nanganallur Road,Koyambedu,30,24
Nanganallur Road,Thirumangalam,40,32
Nanganallur Road,Anna Nagar Tower,40,32
Nanganallur Road,Anna Nagar East,40,32
Nanganallur Road,Shenoy Nagar,40,32
Nanganallur Road,Pachiappas College,40,32
Nanganallur Road,Kilpauk,40,32
Nanganallur Road,Nehru Park,40,32
Nanganallur Road,Egmore,40,32
Nanganallur Road,St. Thomas Mount,20,16
Arignar Anna Alandur Metro,Guindy,10,8
Arignar Anna Alandur Metro,Little Mount,20,16
Arignar Anna Alandur Metro,Saidapet,20,16
Arignar Anna Alandur Metro,Nandanam,30,24
Arignar Anna Alandur Metro,Teynampet,30,24
Arignar Anna Alandur Metro,AG-DMS,30,24
Arignar Anna Alandur Metro,Thousand Light,30,24
Arignar Anna Alandur Metro,LIC,30,24
Arignar Anna Alandur Metro,Government Estate,30,24
Arignar Anna Alandur Metro,Puratchi Thalaivar Dr.M.G.Ramachandran Central Metro,40,32
Arignar Anna Alandur Metro,High Court,40,32
Arignar Anna Alandur Metro,Mannadi,40,32
Arignar Anna Alandur Metro,Washermenpet,40,32
Arignar Anna Alandur Metro,Thyagaraya College,40,32
Arignar Anna Alandur Metro,Tondiarpet,40,32
Arignar Anna Alandur Metro,New Washermenpet,40,32
Arignar Anna Alandur Metro,Toll Gate,50,40
Arignar Anna Alandur Metro,Kaladipet,50,40
Arignar Anna Alandur Metro,Thiruvotriyur Theredi,50,40
Arignar Anna Alandur Metro,Thiruvotriyur,50,40
Arignar Anna Alandur Metro,Wimco Nagar,50,40
Arignar Anna Alandur Metro,Wimco Nagar Depot,50,40
Arignar Anna Alandur Metro,Ekkattuthangal,10,8
Arignar Anna Alandur Metro,Ashok Nagar,20,16
Arignar Anna Alandur Metro,Vadapalani,30,24
Arignar Anna Alandur Metro,Arumbakkam,30,24
Arignar Anna Alandur Metro,Puratchi Thalaivi Dr.J.Jayalalitha CMBT Metro,30,24
Arignar Anna Alandur Metro,Koyambedu,30,24
Arignar Anna Alandur Metro,Thirumangalam,30,24
Arignar Anna Alandur Metro,Anna Nagar Tower,30,24
Arignar Anna Alandur Metro,Anna Nagar East,40,32
Arignar Anna Alandur Metro,Shenoy Nagar,40,32
Arignar Anna Alandur Metro,Pachiappas College,40,32
Arignar Anna Alandur Metro,Kilpauk,40,32
Arignar Anna Alandur Metro,Nehru Park,40,32
Arignar Anna Alandur Metro,Egmore,40,32
Arignar Anna Alandur Metro,St. Thomas Mount,10,8
Guindy,Little Mount,10,8
Guindy,Saidapet,20,16
Guindy,Nandanam,20,16
Guindy,Teynampet,20,16
Guindy,AG-DMS,30,24
Guindy,Thousand Light,30,24
Guindy,LIC,30,24
Guindy,Government Estate,30,24
Guindy,Puratchi Thalaivar Dr.M.G.Ramachandran Central Metro,30,24
Guindy,High Court,40,32
Guindy,Mannadi,40,32
Guindy,Washermenpet,40,32
Guindy,Thyagaraya College,40,32
Guindy,Tondiarpet,40,32
Guindy,New Washermenpet,40,32
Guindy,Toll Gate,40,32
Guindy,Kaladipet,40,32
Guindy,Thiruvotriyur Theredi,50,40
