Bus No,Stop Order,Stop Name
M5,0,Adyar
M5,1,Thiruvanmiyur
M5,2,Perungudi
M5,3,Sholinganallur
M5,4,Kelambakkam
19D,0,Adyar
19D,1,Thiruvanmiyur
19D,2,SRP
19D,3,Perungudi
19D,4,Chemmenchery
19K,0,Adyar B.S.
19K,1,Thiruvanmiyur
19K,2,Perungudi
19K,3,Navalur
19K,4,Thalambur
19K,5,Siruseri
19P,0,Adyar B.S.
19P,1,SRP Tools
19P,2,Perugudi
19P,3,Sholinganallur
19P,4,Navalur
19P,5,Thalambur
19P,6,Sirusery
19P,7,Pudupakkam
19P,8,Chettinad Hospital
19P,9,Kelambakkam
519 cut,0,Adyar
519 cut,1,SRP tools
519 cut,2,Sholinganallur
519 cut,3,Kelambakkam
519 cut,4,Kalavakkam
519 cut,5,Thirupporur
519A cut,0,Adyar
519A cut,1,SRP tools
519A cut,2,Sholinganallur
519A cut,3,Kelambakkam
519A cut,4,Thirupporur
519A cut,5,Aalathur IE
519T,0,Adyar
519T,1,Perungudi
519T,2,Sholinganallur
519T,3,Kelambakka m
519T,4,Thaiyur
522,0,Adyar
522,1,Perungudi
522,2,Sholinganallur
522,3,Kelambakkam
522,4,Thirupporur
522,5,Manamathi
568,0,Adyar
568,1,Rajiv Gandhi Salai
568,2,Mamallapuram
C51,0,Adyar
C51,1,Camp Road
C51,2,Kamarajapuram
C51,3,Medavakkam
C51,4,Sholinganallur
C51,5,ECR
C51,6,Injambakkam
C51,7,Thiruvanmyur
C51,8,Tambaram West
588,0,Adyar
588,1,Thiruvanmiyur
588,2,Injambakkam
588,3,Kovalam
588,4,Thiruvedanthai
588,5,Vadanemili
588,6,Mamallapuram
251A,0,Agaramthe n
251A,1,Bharath Engg. College
251A,2,Camp Road
251A,3,Kamarajapuram
251A,4,Medavakkam
251A,5,T.Nagar
51A,0,Agaramthe n
51A,1,Camp Road
51A,2,Tambaram East
20K,0,Ambattur I.E
20K,1,Thiruverkadu
20P,0,Ambattur I.E
20P,1,Ayapakkam
20P,2,Saveetha Engineering College
20P,3,Kumananchavadi
20P,4,Karaiyanchavadi
20P,5,Poonamallee
61A,0,Ambattur I.E
61A,1,Dunlop
61A,2,Amabttur OT
61A,3,Thirumullaivoyil
61A,4,Avadi
61A,5,HVF Hospital
61A,6,Melapedu
65B,0,Ambattur I.E
65B,1,Karayan chavadi
65B,2,Seeneerkuppam
65B,3,Goverdhangiri
65B,4,Avadi Market
65B,5,Avadi
65B,6,Thirumullaivoyal
65B,7,Ambathur OT
65B,8,Canara bank
65B,9,Dunlop
65B,10,AMBIT Park
65B,11,Poonamallee
65C,0,Ambattur I.E
65C,1,Dunlop
65C,2,Ambattur OT
65C,3,Thirumulaivoyil
65C,4,Avadi
65C,5,Pattabiram
65C,6,Jaya College
65C,7,Thirunindravur
65C,8,Pakkam
65E,0,Ambattur I.E
65E,1,Ambattur OT
65E,2,Avadi
65E,3,Kamaraj Nagar
65E,4,Karaiyanchavadi
65E,5,Poonamallee
65P,0,Ambattur I.E
65P,1,Ambattur OT
65P,2,Avadi Market
65P,3,Poonamallee
65P,4,Thandurai
65P,5,Pattabiram
65R,0,Ambattur I.E
65R,1,Ambattur OT
65R,2,Avadi Market
65R,3,Karaiyanchavadi
65R,4,Kumananchavadi
65R,5,Iyyapanthangal
70D,0,Ambattur I.E
70D,1,Collector Nagar
70D,2,CMBT
70D,3,Vadapalani
70D,4,Ashok Nagar
70D,5,Guindy
70D,6,Velachery
70D,7,Ram Nagar
70D,8,MadipakkamB.S .
D70,0,Ambattur I.E
D70,1,Collector Nagar
D70,2,CMBT
D70,3,Vadapalani
D70,4,Ashok nagar
D70,5,Guindy
D70,6,Checkpost
D70,7,Velachery Bypass road
D70,8,Velachery
M70V,0,Ambattur I.E
M70V,1,Collector Nagar
M70V,2,Vadapalani
M70V,3,Guindy TVK Estate
M270,0,Ambattur I.E
M270,1,Aadambakkam
M270,2,Guindy
M270,3,Udhayam
M270,4,CMBT
M270,5,Thirumangalam
M270,6,Puzhuthivakka m
562,0,Ambattur Estate
562,1,Periyapalayam
562,2,Red Hills
562,3,Puzhal
562,4,Pudur
562,5,Ambattur OT
562,6,Thandalam
563,0,Ambattur I.E
563,1,Ambattur OT
563,2,Avadi
563,3,Pattabiram
563,4,Periyapalayam
570A,0,Ambattur Estate
570A,1,CMBT
570A,2,Vadapalani
570A,3,Ashok Nagar
570A,4,Guindy
570A,5,Check post
570A,6,Velachery
570A,7,SRP tools
570A,8,Perungudi
570A,9,Sholinganallur
570A,10,Navalur
570A,11,Padur
570A,12,Kelambakkam
7E,0,Ambattur I.E
7E,1,Central R.S
7E,2,Choolai P.O
7E,3,Doveton
7E,4,Purasaiwakkam
7E,5,Kellys
7E,6,Kilpauk Gardens
7E,7,Chinthamani
7E,8,Thirumangalam
7E,9,Wavin
7E,10,Broadway
7H xt,0,Ambattur I.E
7H xt,1,Central R.S
7H xt,2,Vepery
7H xt,3,Purasaiwakkam
7H xt,4,Kellys
7H xt,5,Kilpauk Gardens
7H xt,6,Chinthamani
7H xt,7,Thirumangalam
7H xt,8,Broadway
20E,0,Ambattur I.E
20E,1,Ayyapakkam
22A,0,Ambattur I.E
22A,1,Korattur
22A,2,Lucas
22A,3,Nathamuni
22A,4,ICF
22A,5,Ayanavaram
22A,6,Kellys
22A,7,Purasaiwakkam
22A,8,Egmore
22A,9,Triplicane
22A,10,Ka nnagi statue
22A,11,Santhome
22A,12,AMS
22A,13,Adyar
22A,14,Thirunamiyur
34,0,Ambattur I.E
34,1,Thirumangalam
34,2,Rountana
34,3,Chinthamani
34,4,Kellys
34,5,Purasaiwakkam
34,6,Choolai P.O.
34,7,Regal
34,8,V.Nagar
34,9,Tondiarpet
34,10,Tollgate
34,11,Therady
34,12,Thiruvottiyur
47C,0,Ambattur I.E
47C,1,Saidpet
47C,2,T. Nagar
47C,3,Mahalingapuram
47C,4,Choolaimedu
47C,5,Roundtana
47C,6,Thirumangalam
47C,7,Wavin
47C,8,Kotturpuram
62A,0,Ambattur I.E
62A,1,Pudur
62A,2,Red Hills
219,0,Ambattur I.E
219,1,Collector Nagar
219,2,Thirumangalam
219,3,Anna Arch
219,4,Choolaimedu
219,5,Mahalingapuram
219,6,T.Nagar
219,7,Saidapet
219,8,Madhya Kailash
219,9,Tidel Park
219,10,Thoraipakkam
219,11,Siruseri
219,12,Kelambakkam
572,0,Ambattur I.E
572,1,Ambattur OT
572,2,Avadi
572,3,Pattabiram
572,4,Thirunindravur
572,5,Veppampattu
572,6,Sevapet
572,7,Kakallur
572,8,Thiruvallur
572K,0,Ambattur I.E
572K,1,Avadi
572K,2,Pattabiram
572K,3,Thirunindravur
572K,4,Veppampattu
572K,5,Sevapet
572K,6,Kilanur
70L,0,Ambattur Karukku
70L,1,CMBT
D41,0,Ambattur O.T.
D41,1,Korattur
D41,2,Lucas
D41,3,Thirumangalam
D41,4,Amijikarai
D41,5,KMC
D41,6,Chetpet
D41,7,Sterling road
D41,8,Gemini
D41,9,Teynampet
D41,10,Nandanam
D41,11,Adyar Gate
D41,12,Mandaveli
D41,13,AMS
D41,14,Adyar
D41,15,Thiruvanmiyur
170K,0,Ambattur O.T
170K,1,V.Z00
170K,2,Tambaram
170K,3,Pallavaram
170K,4,Guindy
170K,5,Udhayam
170K,6,Vadapalani
170K,7,CMBT
170K,8,Anna Nagar
170K,9,Padi
170K,10,Ambattur I.E
170K,11,Guduvanchery
47D,0,Ambathur O.T.
47D,1,Adyar
47D,2,T. Nagar
47D,3,Sterling Road
47D,4,Ambattur I.E
47D,5,Thiruvanmiyur
71,0,Ambattur OT
71,1,Central R.S
71,2,Taylors Road
71,3,New Avadi road
71,4,Nadhamuni
71,5,Padi
71,6,Ambattur IE
71,7,Broadway
147C,0,Ambattur O.T.
147C,1,Collector Nagar
147C,2,Blue Star
147C,3,Anna Hospital
147C,4,Loyalla College
147C,5,Sterling Road
147C,6,Valluvar Kottam
147C,7,T.Nagar
253,0,Aminjikarai
253,1,NSK
253,2,Mathuravoyal
253,3,Vellapanchavadi
253,4,Kumananchavadi
253,5,Poonamallee
253,6,Thirumazhisai
253,7,Vellavedu
60,0,Anakaputh ur
60,1,Pammal
60,2,Pallavaram
60,3,Guindy
60,4,Little Mount
60,5,Saidapet
60,6,Teynampet
60,7,DMS
60,8,TVS
60,9,Simpson
60,10,Central R.S
60,11,Broadway
60C,0,Anakaputh ur
60C,1,Pammal
60C,2,Pallavaram
60C,3,Guindy
60C,4,Little Mount
60C,5,Saidapet
60C,6,Teynampet
60C,7,DMS
60C,8,TVS
60C,9,Simpson
60C,10,Central R.S
60C,11,Broadway
M70 xt,0,Anna Nagar West
M70 xt,1,Thirumangalam
M70 xt,2,CMBT
M70 xt,3,Vadapalani
M70 xt,4,Ashok nagar
M70 xt,5,Guindy
M70 xt,6,Checkpost
M70 xt,7,Velacherry
M70 xt,8,Taramani
M70 xt,9,SRP tools
M70 xt,10,Jayanthi
M70 xt,11,Thiruvanmiyur
15,0,Anna NagarWest
15,1,Broadway
15A,0,Anna Nagar West
15A,1,Kilpauk
15A,2,Broadway
15D,0,Anna Nagar West
15D,1,Dasaprakash
15D,2,Anna Hospital
15D,3,14 Shops
15D,4,Broadway
23M extn,0,Anna Nagar West
23M extn,1,Adyar
23M extn,2,Gandhi mandapam
23M extn,3,Little mount
23M extn,4,Saidapet
23M extn,5,T.Nagar
23M extn,6,Panagal park
23M extn,7,Liberty
23M extn,8,Power house
23M extn,9,Vadapalani
23M extn,10,MMDA Colony
23M extn,11,CMBT
23M extn,12,Thirumangalam
23M extn,13,Thiruvanmiyur
24A,0,Anna Nagar West
24A,1,Shanthi Colony
24A,2,K4 Police station
24A,3,Chinthamani
24A,4,Aminijikarai
24A,5,Chetpet
24A,6,Gemini
24A,7,Royapetah
24A,8,V House
27C cut,0,Anna nagar West
27C cut,1,Panagal park
27C cut,2,Bharathinagar
27C cut,3,Liberty
27C cut,4,Power house
27C cut,5,Vadapalani
27C cut,6,MMDA Colony
27C cut,7,CMBT
27C cut,8,Thirumangalam
27C cut,9,T. Nagar
41C,0,Anna Nagar West
41C,1,Adyar Depot
41C,2,Adyar
41C,3,AMS
41C,4,Mandaveli
41C,5,Mylapore
41C,6,Luz
41C,7,Alwarpet
41C,8,DMS
41C,9,Gemini
41C,10,Sterling Road
41C,11,Chetpet
41C,12,KMC
41C,13,Amijikarai
41C,14,Rountana
41C,15,Thirumangalam
41C,16,Thiruvanmiyur
2A,0,Anna Square
2A,1,Vyasarpadi
2A,2,Basin Bridge
2A,3,Regal
2A,4,Elephant gate
2A,5,Central R.S
2A,6,P R & sons
2A,7,Walaja Road
2A,8,Bells Road
2A,9,M.K.B Nagar
2A xt,0,Anna Square
2A xt,1,M.K.B Nagar
2A xt,2,Kaviarasu Kannadasan Nagar
C2,0,Anna Square
C2,1,Secretariat
C2,2,Parrys
C2,3,Beach Road
C2,4,Stanley Hospital
C2,5,Vallalar Nagar
C2,6,Regal
C2,7,Central
C2,8,Pallavan Road
C2,9,Wallajah road
C2,10,Chepauk
C2,11,Triplicane
C2,12,Ezhilagam
C2,13,Anna Square
12G,0,Anna Square
12G,1,MGR Nagar
12G,2,Ashok Pillar
12G,3,West Mambalam
12G,4,Alwarpet
12G,5,Luz
12G,6,K K Nagar
25G,0,Anna Square
25G,1,Kannaki Statue
25G,2,V.House
25G,3,Royapettah
25G,4,Palmgrove
25G,5,Liberty
25G,6,Vadapalani
25G,7,Porur
25G,8,Iyyapanthangal
25G,9,Kumananchavadi
25G,10,Poonamallee
27E,0,Anna Square
27E,1,Collector nagar
27E,2,Thirumangalam
27E,3,Rountana
27E,4,Amijikarai
27E,5,KMC
27E,6,Egmore RS
27E,7,Zimson
27E,8,Triplicane
27E,9,Kannaki Statue
27E,10,Elango nagar officer colony
27H,0,Anna Square
27H,1,Triplicane
27H,2,LIC
27H,3,DPI
27H,4,Sterling Road
27H,5,Anna Arch
27H,6,Thirumangalam
27H,7,Padi
27H,8,Ambattur OT
27H,9,Avadi
27H xt,0,Anna Square
27H xt,1,Triplicane
27H xt,2,LIC
27H xt,3,DPI
27H xt,4,Sterling Road
27H xt,5,Anna Arch
27H xt,6,Thirumangalam
27H xt,7,Padi
27H xt,8,Ambattur OT
27H xt,9,Avadi
27H xt,10,Pattabiram
27L,0,Anna Square
27L,1,Triplicane
27L,2,Ethiraj College
27L,3,Loyola College
27L,4,Choolaimedu
27L,5,Thirumangalam
27L,6,Mogappair West
27R,0,Anna Square
27R,1,Triplicane
27R,2,LIC
27R,3,DPI
27R,4,Sterling Road
27R,5,Choolaimedu
27R,6,Anna Arch
27R,7,Thirumangalam
27R,8,Vavin
27R,9,Ambattur I.E
27R,10,Ambattur OT
27R,11,Oragadam
H27,0,Anna Square
H27,1,Triplicane
H27,2,LIC
H27,3,DPI
H27,4,Sterling Road
H27,5,Loyola College
H27,6,Choolaimedu
H27,7,Roundtana
H27,8,Thirumangalam
H27,9,Vavin
H27,10,Ambattur I.E
H27,11,Ambattur
40A,0,Anna Square
40A,1,Triplicane
40A,2,LIC
40A,3,Egmore
40A,4,KMC
40A,5,Aminjikarai
40A,6,Chinthamani
40A,7,Blue Star
40A,8,Collector Nagar
40A,9,Ambattur OT
40A,10,Avadi
45B,0,Anna Square
45B,1,Saidapet
45B,2,Nandanam
45B,3,Teynampet
45B,4,Alwarpet
45B,5,Luz
45B,6,Chennai Citi Centre
45B,7,Guindy
45G,0,Anna square
45G,1,Marina Beach
45G,2,Chennai Citi Centre
45G,3,Mylapore
45G,4,Mandaveli
45G,5,Adyar G ate
45G,6,Nandanam
45G,7,CIT Nagar
45G,8,Srinivasa
45G,9,Mettupalayam
45G,10,Saidapet West
45G,11,Guindy
M45B,0,Anna Square
M45B,1,Saidapet
M45B,2,Nandanam
M45B,3,Teynampet
M45B,4,Alwarpet
M45B,5,Luz
M45B,6,Chennai Citi Centre
M45B,7,Nanganallur
M45E,0,Anna Square
M45E,1,Triplicane
M45E,2,Chennai Citi Centre
M45E,3,Luz
M45E,4,Saidapet
M45E,5,Velachery
M45E,6,Kilkattalai
127B,0,Anna Square
127B,1,Maduravoyal
127B,2,KoyambeduMarket
127B,3,Amijikarai
127B,4,KMC
127B,5,Chetpet
127B,6,EgmoreR.S
127B,7,Chindhatripet
127B,8,Triplicane
127B,9,Thiruverkadu
127H,0,Anna Square
127H,1,Triplicane
127H,2,LIC
127H,3,DPI
127H,4,Sterling Road
127H,5,Anna Arch
127H,6,Thirumangalam
127H,7,Nadhamuni
127H,8,Villivakkam
C2,0,Anna Square
C2,1,Ezhilagam
C2,2,Triplicane
C2,3,Chepauk
C2,4,Wallaja Road
C2,5,Pallavan Road
C2,6,Central
C2,7,Regal
C2,8,Vallalar Nagar
C2,9,Royapuram bridge
C2,10,Beach Road
C2,11,Parrys
C2,12,Secretariat
C2,13,Anna Square
C2,0,Anna Square
C2,1,Secretariat
C2,2,Parrys
C2,3,Beach Road
C2,4,Stanley Hospital
C2,5,Vallalar Nagar
C2,6,Regal
C2,7,Central
C2,8,Pallavan Road
C2,9,Wallajah road
C2,10,Chepauk
C2,11,Triplicane
C2,12,Ezhilagam
C2,13,Anna Square
13A,0,Anna Square
13A,1,Triplicane
13A,2,Zambazzar
13A,3,Express Avenue
13A,4,Royapettah
13A,5,Gopalapuram playground
13A,6,Sapphire
13A,7,LFC
13A,8,Vanimahal
13A,9,T.Nagar
22B,0,Anna Square
22B,1,Lucas
22B,2,Nathamuni
22B,3,ICF
22B,4,Ayanavaram
22B,5,Kellys
22B,6,Purasaiwakkam
22B,7,Egmore
22B,8,Triplicane
22B,9,Ka nnagi statue
22B,10,Korattur
27B,0,Anna Square
27B,1,Koyambedu
27B,2,Arumbakkam
27B,3,NSK nagar
27B,4,Amijikarai
27B,5,KMC
27B,6,Chetpet
27B,7,MMC School
27B,8,Egmore RS
27B,9,Chindatripet
27B,10,Zimson
27B,11,Triplicane
27B,12,Kannaki Statue
27B,13,CMBT
29A,0,Anna Square
29A,1,Otteri
29A,2,Devoton
29A,3,Egmore
29A,4,Pudhupet
29A,5,Walaja Road
29A,6,Bells Road
29A,7,Triplicane
29A,8,Perambur
M45A,0,Anna Square
M45A,1,Saidapet
M45A,2,Nandanam
M45A,3,Adyar Gate
M45A,4,Velachery
242xt,0,Anna Square
242xt,1,Red Hills
61C,0,Avadi
61C,1,HVF Hospital
61C,2,HVF Main Gate
61C,3,Muthapudupet
61K,0,Avadi
61K,1,HVF Hospital
61K,2,Kovilpadagai
61K,3,Veerapuram
61K,4,Kaniyamman Nagar
61R,0,Avadi
61R,1,HVF Hospital
61R,2,Kovilpadagai
61R,3,Vellanur
61R,4,Veerapuram
61R,5,Kadavoor
61R,6,Red Hills
62,0,Avadi
62,1,Thirumullaivoyal
62,2,Ambathur OT
62,3,Pudur
62,4,Kallikuppam
62,5,Surapedu
62,6,Puzhal
62,7,Bypass road
62,8,Kavangarai
62,9,Ayurveda Ashramam
62,10,Red Hills
65,0,Avadi
65,1,Govardhanagiri
65,2,Mettupalayam
65,3,Kaduveti
65,4,Karaiyanchavadi
65,5,Poonamallee
65D,0,Avadi
65D,1,Pattabiram
65D,2,Thirunindravur
65D,3,Melkondaiyur
65G,0,Avadi
65G,1,Pattabiram
65G,2,Thirunindravur
65G,3,Meyyur
65H,0,Avadi
65H,1,Pattabiram
65H,2,Thirunindravur
65H,3,Red Hills
70,0,Avadi
70,1,Ambattur
70,2,Padi
70,3,Thirumangalam
70,4,CMBT
70,5,Vadapalani
70,6,Ashok Pillar
70,7,Chennai Airport
70,8,Pallavaram
70,9,Chromepet
70,10,Tambaram
70A,0,Avadi
70A,1,Tambaram
70A,2,Vandalur Zoo
70B,0,Avadi
70B,1,Ambattur OT
70B,2,Collector Nagar
70B,3,CMBT
70B,4,Vadapalani
70B,5,Udhayam
70B,6,Pallavaram
70B,7,Chromepet Lakshmi
A70,0,Avadi
A70,1,Ambattur
A70,2,Padi
A70,3,Thirumangalam
A70,4,CMBT
A70,5,Vadapalani
A70,6,Ashok Pillar
A70,7,Kathipara
A70,8,Chennai Airport
A70,9,Pallavaram
266,0,Avadi
266,1,Govardhanagiri
266,2,Kaduveti
266,3,Karaiyanchavadi
266,4,Kumananchavadi
266,5,Mangadu
266,6,Kundrathur
266,7,Pallavaram
266,8,Tambaram
565A,0,Avadi
565A,1,Govardhanagiri
565A,2,Karaiyanchavadi
565A,3,Poonamallee
565A,4,Irrunkatturkottai
565A,5,Sriperumbudur
565A,6,Sunguvarchatira m
580,0,Avadi
580,1,Pattabiram
580,2,Thiruninravur
580,3,Pakkam
580,4,Tamaraipakkam
580,5,Vadamadurai
580,6,Periyapalayam Koot road
580,7,Arani
580M,0,Avadi
580M,1,Pattabiram
580M,2,Thiruninravur
580M,3,Pakkam
580M,4,Tamaraipakkam
580M,5,Vengal
580M,6,Vengal Koot road
580M,7,Malanthur
24C,0,Avadi
24C,1,Ambattur OT
24C,2,Collector Nagar
24C,3,Blue Star
24C,4,Chinthamani
24C,5,Aminijikarai
24C,6,Chetpet
24C,7,Gemini
24C,8,Royapetah
24C,9,V House
27H,0,Avadi
27H,1,Triplicane
27H,2,LIC
27H,3,DPI
27H,4,Sterling Road
27H,5,Anna Arch
27H,6,Thirumangalam
27H,7,Padi
27H,8,Ambattur OT
27H,9,Anna Square
41D,0,Avadi
41D,1,Ambattur OT
41D,2,Korattur
41D,3,Lucas
41D,4,Thirumangalam
41D,5,Amijikarai
41D,6,KMC
41D,7,Chetpet
41D,8,Sterling road
41D,9,Gemini
41D,10,Teynampet
41D,11,Nandanam
41D,12,Adyar Gate
41D,13,Mandaveli
47D,0,Avadi
47D,1,Adyar
47D,2,T. Nagar
47D,3,Sterling Road
47D,4,Ambattur I.E
47D,5,Thiruvanmiyur
A47,0,Avadi
A47,1,Adyar
A47,2,T.Nagar
A47,3,Pushpa Nagar
A47,4,Ambattur I.E
A47,5,Thiruvanmiyur
M70A,0,Avadi
M70A,1,Ambattur O.T
M70A,2,Collector Nagar
M70A,3,CMBT
120,0,Avadi
120,1,Central R.S
120,2,Purasaiwakkam
120,3,Sayani
120,4,ICF
120,5,Padi
120,6,Ambattur OT
120,7,Broadway
A147,0,Avadi
A147,1,Adyar
A147,2,T.Nagar
A147,3,Pushpa Nagar
A147,4,Ambattur I.E
A147,5,Collector Nagar
A147,6,Thiruvanmiyur
150,0,Avadi
150,1,Central
150,2,Dasaprakash
150,3,KMC
150,4,Amijikarai
150,5,Arumbakkam
150,6,Koyambedu
150,7,Nerkundram
150,8,Maduravoyal
150,9,Vanagaram
150,10,Velappan chavadi
150,11,Thiruverkadu
150,12,Govardhangiri
150,13,Avadi Market
150,14,Broadway
162A,0,Avadi
162A,1,Puzhal
162A,2,Mathur MMDA
572A,0,Avadi
572A,1,Pattabiram
572A,2,Thirunindravur
572A,3,Veppampattu
572A,4,Sevapet
572A,5,Kakallur
572A,6,Thiruvallur
71H,0,Avadi Kamaraj Nagar
71H,1,Central R.S
71H,2,New Avadi road
71H,3,Nadhamuni
71H,4,Ambattur IE
71H,5,Ambattur OT
71H,6,Avadi
71H,7,Broadway
22,0,Ayanavara
22,1,Egmore
22,2,Triplicane
22,3,Kannagi statue
22,4,Anna Square
23C,0,Ayanavara m
23C,1,Purasaiwakkam
23C,2,Egmore
23C,3,LIC
23C,4,TVS
23C,5,Saidapet
23C,6,Adyar
23C,7,Besant Nagar/Thiruva nmiyur
35,0,Ayanavara m
35,1,Sayani
35,2,Kellys
35,3,Purasaiwakkam
35,4,Choolai P.O
35,5,Central R.S
35,6,Broadway
70G,0,Ayanavara m
70G,1,Anna Nagar East
70G,2,Thirumangalam
70G,3,CMBT
70G,4,Vadapalani
70G,5,Ashok Pillar
70G,6,Chennai Airport
70G,7,Pallavaram
70G,8,Chromepet
70G,9,Tambaram
114A,0,Ayanavara m
114A,1,Puzhal
114A,2,Nethaji Circle(byepass)
114A,3,Retteri
114A,4,Lucas
114A,5,ICF
114A,6,Red Hills
20E,0,Ayyapakka m
20E,1,Ambattur I.E
20J,0,Ayyapakka m
20J,1,CMBT
147Cxt,0,Ayapakka m
147Cxt,1,Ambattur I.E
147Cxt,2,T.Nagar
23M cut,0,Besant nagar
23M cut,1,Adyar
23M cut,2,Gandhi mandapam
23M cut,3,Little mount
23M cut,4,Saidapet
23M cut,5,T.Nagar
23M cut,6,Panagal park
23M cut,7,Liberty
23M cut,8,Power house
23M cut,9,Vadapalani
23M cut,10,MMDA Colony
23M cut,11,CMBT
47B,0,Besant Nagar
47B,1,Avvai Home
47B,2,Adyar B.S
47B,3,T.Nagar
47B,4,Anna Nagar East
47B,5,Villivakkam
6A,0,Besant Nagar
6A,1,Adyar
6A,2,Foreshore Estate
6A,3,Triplicane
6A,4,Parry's Corner
6A,5,Maharani
6A,6,Washermanpet
6A,7,Tollgate
23C,0,Besant Nagar/Thir uvanmiyur
23C,1,Purasaiwakkam
23C,2,Egmore
23C,3,LIC
23C,4,TVS
23C,5,Saidapet
23C,6,Adyar
23C,7,Ayanavaram
29C,0,Besant Nagar/Thir uvanmiyur
29C,1,Jamaliya
29C,2,Otteri
29C,3,KMC
29C,4,Chetpet
29C,5,Sterling Road/College Road
29C,6,Gemini
29C,7,Mylapore
29C,8,Mandaveli
29C,9,Adyar
29C,10,Perambur
1G Cut,0,Broadway
1G Cut,1,Velachery
1G Cut,2,Saidapet
1G Cut,3,TVS
1G Cut,4,LIC
1G Cut,5,Central
1G Cut,6,Madipakkam
A1 xt,0,Broadway
A1 xt,1,Central
A1 xt,2,LIC
A1 xt,3,Royapettah
A1 xt,4,Luz
A1 xt,5,Mylapore
A1 xt,6,Mandaveli
A1 xt,7,AMS
A1 xt,8,Adyar
A1 xt,9,Thiruvanmiyur
A1 xt,10,Kottivakkam
A1 xt,11,Palavakkam
A1 xt,12,Neelangarai
A1 xt,13,Injambakkam
A1 xt,14,Uthandi
A1 xt,15,Kanathur
A1 xt,16,Muttukadu boat yard
A1 xt,17,Kovalam
5C,0,Broadway
5C,1,Madhya Kailash
5C,2,Kotturpuram
5C,3,Alwarpet
5C,4,Royapettah
5C,5,Chennai Central
5C,6,Taramani
7B,0,Broadway
7B,1,Central R.S
7B,2,Periamet
7B,3,Vepery
7B,4,Doveton
7B,5,Pattalam
7B,6,Otteri
7B,7,Ayanavaram
7B,8,Joint Office
7B,9,ICF
7B,10,Villivakkam
7B,11,Nathamuni
7B,12,Korattur
7E,0,Broadway
7E,1,Central R.S
7E,2,Choolai P.O
7E,3,Doveton
7E,4,Purasaiwakkam
7E,5,Kellys
7E,6,Kilpauk Gardens
7E,7,Chinthamani
7E,8,Ambattur I.E
7F,0,Broadway
7F,1,Central R.S
7F,2,Vepery
7F,3,Purasaiwakkam
