S.No,T.No,VLCY,MSB,MMC,AVD,PTMS,TRL,AJJ,TRT,T.No2,TRT,AJJ,TRL,PTMS,AVD,MMC,MSB,VLCY
1,43001,0.15,1.05,43102,3.20,3.37,4.25,,,,,,,,,,,
2,43551,4.00,4.20,43002,3.50,4.35,,,,,,,,,,,,
3,43553,5.05,5.25,43004,4.00,4.50,,,,,,,,,,,,
4,43501,3.50,4.30,5.00,5.42,6.05,43652,4.10,5.10,5.55,,,,,,,,
5,66049,6.25,6.50,43202,3.50,4.18,5.05,,,,,,,,,,,
6,43101,4.15,4.55,5.20,66000,4.25,5.10,MEMU,,,,,,,,,,
7,43803,4.15,5.03,5.38,6.30,43654,4.35,5.30,6.15,,,,,,,,,
8,43201,4.30,5.10,5.45,43402,3.45,4.20,4.48,5.45,,,,,,,,,
9,43921,5.50,43932,6.25,7.10,,,,,,,,,,,,,
10,43203,5.00,5.40,6.20,43862,5.00,,,,,,,,,,,,
11,43103,5.15,5.55,6.25,43204,4.45,5.15,6.00,,,,,,,,,,
12,43401F,5.30,Fast,6.15,6.55,43404,4.25,5.00,5.30,6.25,,,,,,,,
13,43701,5.20,6.08,6.50,43104,5.30,5.47,6.40,,,,,,,,,,
14,43205,5.40,6.20,7.00,43852,5.20,5.50,,,,,,,,,,,
15,43841,6.25,6.55,7.45,43656,5.55,6.55,7.45,,,,,,,,,,
16,43503,6.00,6.40,7.10,8.05,8.30,43502,4.30,4.50,5.30,6.05,6.50,,,,,,
17,43761,5.05,5.55,6.45,7.20,66002,6.10,6.55,MEMU,,,,,,,,,
18,43105,6.20,7.00,7.30,43206,5.55,6.23,7.15,,,,,,,,,,
19,43403,6.30,7.10,7.40,8.30,43406,5.25,6.00,6.30,7.25,,,,,,,,
20,43831,7.15,7.50,66004,6.40,7.35,MEMU,,,,,,,,,,,
21,43207,6.50,7.30,8.05,43902,6.23,6.51,7.40,,,,,,,,,,
22,43861,7.35,8.10,43106,6.35,6.55,7.45,,,,,,,,,,,
23,43651,6.05,6.50,7.40,43658,7.05,8.00,8.45,,,,,,,,,,
24,66015,7.00,7.45,8.15,09.00,MEMU,43504,5.30,5.55,6.35,7.10,8.00,,,,,,
25,43107,7.15,7.55,8.35,43208,6.50,7.20,8.10,,,,,,,,,,
26,43871,7.30,8.10,60016,6.20,7.00,7.30,8.30,MLMR/VM,MEMU,,,,,,,,
27,43505,7.40,8.20,8.50,9.30,9.55,43408F,Fast,6.40,7.15,F/LINE,NS,8.25,,,,,
