S.No,T.No,AVD,VLCY,MSB,MMC,GPD,SPE,T.No2,SPE,GPD,MMC,MSB,VLCY,RAKE NO
1,42401,4.20,5.38,6.25,42002,3.50,5.20,GPD,1,,,,,
2,42403,5.00,6.15,7.10,42004,4.50,6.20,GPD,2,,,,,
3,06741,5.20,6.35,7.40,42006,5.10,6.45,GPD,3,,,,,
4,42701,5.15,42402,5.00,5.40,7.20,SPE,1,,,,,,
5,42001,5.40,7.35,43861,AVD,6,,,,,,,,
6,43852,PON,ARRL,07.35,42502,6.00,07.44/49,CGL,09.45,GPD,5,,,
7,43862,5.00,42404,5.40,6.25,8.05,SPE,2,,,,,,
8,42003,6.25,8.15,42752,8.10,8.55,MSB,4,,,,,,
9,42005,6.50,8.40,42008,6.55,8.25,GPD,4,,,,,,
10,42407,7.30,8.50,9.50,42406,6.40,7.20,8.50,MMC,4,,,,
11,06749,7.45,9.02,9.58,42302,9.10,TRL,3,,,,,,
12,42007,8.15,9.40,07237,7.05,7.35,FAST,BTTR/M,,,,,,
13,42411,8.35,9.50,11.00,42010,8.00,9.40,GPD,1,,,,,
14,42009,9.00,10.35,42852,7.25,8.15,9.55,10.40,MMC,5,,,,
15,42011,9.30,11.20,42012,8.30,10.05,GPD,2,,,,,,
16,42651,8.50,9.40,11.20,42652,8.50,10.30,11.15,GPD,3,,,,
17,42413,10.15,11.30,12.45,42014,9.55,11.20,SPE,2,,,,,
18,42013,10.35,12.00,42408,10.00,10.40,12.10,SPE,1,,,,,
19,42015,11.35,13.00,42832,10.55,12.30,MMC,4,,,,,,
20,42501,11.45/55,13.25,MON-FRI,42016,11.25,12.50,TRL,3,,,,,
21,42017,12.10,13.40,42018,12.15,13.45,GPD,2,,,,,,
22,42841,12.40,14.00,14.50,42410,11.45,12.30,14.05,GPD,4,,,,
23,06743,13.15,14.40,15.45,06742,12.35,13.15,14.35,AVD,4,M1,,,
24,42019,13.40,15.25,42020,13.30,14.55,SPE,2,,,,,,
25,42301,14.00,42414,13.20,14.00,15.35,GPD,1,,,,,,
26,42417,14.30,15.55,16.55,42022,14.30,16.00,MSB,7,,,,,
27,42653,13.55,14.40,16.20,42522,MON-FRI,15.00,16.35/48,TBM,17.43,GPD,5,,
28,42021,15.05,16.30,42024,15.15,16.45,AVD10,,,,,,,
29,42419,15.30,16.55,18.00,43851,GPD,4,,,,,,,
30,42655,14.55,15.45,17.20,42026,15.45,17.10,SPE,1,,,,,
31,42023,16.10,18.00,42416,15.10,16.00,17.40,MMC,4,,,,,
32,07238F,16.30,17.35,18.15,42654,16.30,18.05,18.50,AVD,3,,,,
33,42025,16.55,18.25,42028,17.00,18.25,GPD,2,,,,,,
34,42027,17.30,19.15,42030,17.30,18.55,MSB,1,,,,,,
35,42421,18.00,19.25,20.10,42854,17.20,18.00,19.40,20.25,GPD,2,,,
36,42029,18.35,20.05,42032,18.10,19.35,AJJ,2,,,,,,
37,42657,17.45,18.45,20.25,42034,18.40,20.05,AVD10,,,,,,
38,42423,19.05,20.35,21.25,42418,18.15,18.55,20.25,MMC,3,,,,
39,42521,TBM,17.58,19.05,MON-FRI,20.55,06752,18.40,19.15,21.10,AVD8,/M2,,
40,42031,19.35,21.05,42834,19.35,21.00,SPE,1,,,,,,
41,42659,19.10,20.00,21.45,42036,20.15,21.50,GPD,2,,,,,
42,42425,20.25,21.50,22.40,42656,20.35,22.20,23.05,AVD11,,,,,
43,42033,20.55,22.20,42422,20.30,21.10,22.30,MMC,4,,,,,
44,42843,21.20,22.45,23.35,42038,21.20,23.00,GPD,5,,,,,
45,42035,21.45,23.25,06744,20.45,21.30,23.15,JTJ1/M1,,,,,,
46,42831,22.45,0.25,42836,21.55,23.30,MSB,5,,,,,,
47,42037,23.20,1.00,42426,21.40,22.20,23.45,MSB,1,,,,,
