S.No,Up T.No,MSB Depr,VLCY Arrl,Down T.No,VLCY Depr,MSB Arrl
1,41001,4.10,4.55,43761,5.05,5.50
2,41003,4.30,5.15,41004,5.20,6.05
3,43652,5.10,5.55,41006,5.50,6.35
4,43654,5.30,6.15,43651,6.05,6.50
5,41009,5.50,6.35,41010,6.25,7.10
6,41011,6.10,6.55,41012,6.40,7.25
7,43932,6.25,7.10,41014,6.55,7.40
8,41015,6.40,7.25,41016,7.10,7.55
9,43656,7.00,7.45,43653,7.25,8.10
10,41019,7.15,8.00,41020,7.35,8.20
11,41021,7.30,8.15,41022,7.55,8.40
12,41023,7.45,8.30,41024,8.05,8.50
13,43658,8.00,8.45,43791,8.20,9.05
14,42752,8.10,8.55,41028,8.35,9.20
15,41029,8.25,9.10,42651,8.50,9.35
16,43660,8.35,9.20,43763,9.05,9.50
17,41033,8.45,9.30,43793,9.15,10.00
18,43662,8.55,9.40,41036,9.25,10.10
19,41037,9.05,9.50,41038,9.35,10.20
20,43934,9.15,10.00,41040,9.50,10.35
21,43936,9.25,10.10,41042,10.05,10.50
22,41043,9.35,10.20,43655,10.15,11.00
23,43664,9.45,10.30,41046,10.30,11.15
24,42852,9.55,10.40,41048,10.55,11.40
25,43792,10.10,10.55,43941,11.20,12.05
26,42652,10.30,11.15,41054,11.45,12.30
27,41055,10.50,11.35,43765,12.10,12.55
28,43942,11.15,12.00,41060,12.35,13.20
29,41061,11.40,12.25,43795,13.00,13.55
30,41063,12.05,12.50,43931,13.30,14.15
31,43762,12.35,13.20,42653,14.00,14.45
32,41069,12.55,13.40,43767,14.30,15.15
33,43666,13.25,14.10,42655,15.00,15.55
34,43952,13.55,14.40,41078,15.25,16.10
35,41079,14.25,15.10,41080,15.50,16.35
36,43764,14.55,15.40,41084,16.10,16.55
37,41085,15.25,16.10,41086,16.25,17.10
38,43668,15.45,16.30,43797,16.35,17.20
39,41089,16.00,16.45,43769,16.50,17.35
40,41091,16.15,17.00,41092,17.05,17.50
41,41093,16.30,17.20,43933,17.15,18.00
42,41095,16.45,17.30,41096,17.25,18.10
43,41097,17.00,17.45,43943,17.35,18.20
44,43670,17.15,18.00,42657,17.45,18.30
45,43672,17.30,18.15,41102,17.55,18.40
46,43674,17.45,18.30,41104,18.05,18.50
47,42654,18.00,18.45,43771,18.20,19.05
48,41109,18.10,18.55,43657,18.35,19.20
49,43938,18.20,19.05,43773,18.50,19.35
50,41113,18.30,19.15,42659,19.05,19.50
51,43676,18.45,19.30,41116,19.25,20.10
52,41117,19.00,19.45,43659,19.45,20.30
53,43766,19.15,20.00,43661,20.05,20.50
54,42854,19.35,20.20,41124,20.25,21.10
55,43768,19.55,20.40,43663,20.45,21.30
56,41127,20.20,21.05,41128,21.10,21.55
57,41129,20.45,21.30,41130,21.35,22.20
58,43770,21.10,21.55,41132,22.00,22.45
59,41135,21.35,22.20,43799,22.25,23.10
60,43794,22.00,22.45,41138,22.50,23.35
61,42656,22.20,23.05,41140,23.10,23.55
