S.No,T.No,MSB,TBM,CGL,CJ,TMLP/AJJ,T.No2,AJJ/TMLP,CJ,CGL,TBM,MSB,Extra1,Extra2
1,40501,3.55,4.50,5.35,40002,3.55,4.50,,,,,,,
2,40001,4.15,5.10,40004,4.15,5.10,,,,,,,,
3,40503,4.35,5.30,6.20,40006,4.35,5.30,,,,,,,
4,40505,4.55,5.50,6.40,40502,4.00,4.55,5.50,,,,,,
5,40203,6.00,6.55,MF/S,4,40008,5.12,6.07,,,,,,
6,40507,5.15,6.10,7.05,40504,4.30,5.25,6.20,,,,,,
7,40701,5.30,6.25/30,07.17/07.25,8.15,40010,5.38,6.33,,,,,,
8,40509,5.45,6.40,7.30,40506,4.45,5.51,6.46,,,,,,
9,40511,6.00,6.55,7.45,40012,6.03,6.58,,,,,,,
10,40003,6.15,7.10,40508,5.20,6.15,7.10,,,,,,,
11,40513,6.25,7.20,8.10,40014,6.30,7.25,,,,,,,
12,40515,6.38,7.35,8.25,40510,5.50,6.45,7.40,,,,,,
13,40517,6.52,7.47,8.35,40018,7.00,7.55,,,,,,,
14,40519,7.03,8.00,8.50,40902,AJJ,4.40,5.15,6.07/06.15,7.10,8.05,,,
15,40005,7.15,8.10,40020,7.17,8.12,,,,,,,,
16,44002,8.20,9.25,AJJ,10.30,40022,7.27,8.22,,,,,,
17,40801,7.27,8.22/25,9.14/09.22,10.30,TMLP,10.50,40512,6.40,7.35,8.30,,,
18,40007,7.33,8.28,40024,7.43,8.38,,,,,,,,
19,40009,7.41,8.36,40514,6.55,7.51,8.46,,,,,,,
20,42502,07.40/50,8.45,9.35,40702,6.10,06.55/07.05,7.58,8.53,,,,,
21,40011,8.00,8.55,40026,8.05,9.00,,,,,,,,
22,40015,8.10,9.05,44001,AJJ,5.50,6.25,07.15,,,,,,
23,40017,8.19,9.15,40516,7.15,8.10,9.05,,,,,,,
24,40019,8.27,9.22,DT/S,1,40028,8.19,9.14,,,,,,
25,40021,8.35,9.30,40030,LS/GL,8.26,9.21,,,,,,,
26,40023,8.43,9.40,40204,7.30,8.25,,,,,,,,
27,06721,8.49,9.45,10.28/10.30,40032,8.33,9.28,,,,,,,
28,40025,8.55,9.50,40518F,7.45,8.30/31,9.20,,,,,,,
29,40521,9.02,9.57,10.45,40034,LS/GL,8.39,9.34,,,,,,
30,40027,9.08,10.03,DT/S,2,40802F,TMLP,07.00,7.15,07.57/08.05,8.38/40,9.30,,
31,40029,9.14,10.09,DTS/,3,40036,8.46,9.41,,,,,,
32,40031,9.20,10.16,40038,8.53,9.48,,,,,,,,
33,40523,9.30,10.27,11.20,40520F,On,3rd,line,8.05,08.53/55,9.45,,,
34,40033,9.40,10.35,40040,9.00,9.55,,,,,,,,
35,40035,9.48,10.43,40042,9.08,10.03,,,,,,,,
36,40525,9.56,10.51,11.45,40522,8.25,9.15,10.10,,,,,,
37,40037,10.04,10.59,40044,9.22,10.17,,,,,,,,
38,40039,10.12,11.07,DTS/,4,40524,8.40,9.30,10.25,,,,,
39,P.SPL,TO,TBM,10.18,11.13,40526F,M/L,8.50,9.35,10.27,,,,
40,40041,10.24,11.19,DTS/,5,40904F,7.30,8.15,(M/L),08.57/09.05,9.45,10.35,,
41,40043,10.30,11.25,40046,9.40,10.35,,,,,,,,
42,40045,10.36,11.31,DTS/,6,40048,9.50,10.45,,,,,,
43,40047,10.46,11.41,40050,10.02,10.57,,,,,,,,
